date,retail_volume,unemployment_rate,consumer_confidence,industrial_production,hicp
2015-12,97.2000000000,20.8000000000,-18.9000000000,97.9000000000,79.0300000000
2016-01,97.7000000000,20.5000000000,-31.3000000000,98.0000000000,77.0900000000
2016-02,97.9000000000,20.4000000000,-24.1000000000,99.9000000000,76.7600000000
2016-03,97.7000000000,20.3000000000,-42.6000000000,98.6000000000,78.3000000000
2016-04,98.3000000000,20.3000000000,-39.5000000000,100.7000000000,78.6800000000
2016-05,98.2000000000,20.2000000000,-45.5000000000,98.2000000000,79.1000000000
2016-06,98.8000000000,19.9000000000,-47.7000000000,97.1000000000,79.4300000000
2016-07,99.2000000000,19.5000000000,-37.0000000000,97.5000000000,78.3700000000
2016-08,98.9000000000,19.3000000000,-45.5000000000,98.6000000000,78.3400000000
2016-09,99.3000000000,19.1000000000,-39.9000000000,99.0000000000,78.9000000000
2016-10,99.1000000000,18.9000000000,-45.4000000000,98.0000000000,79.5200000000
2016-11,98.5000000000,18.8000000000,-34.0000000000,99.1000000000,79.7100000000
2016-12,98.0000000000,18.5000000000,-37.0000000000,99.1000000000,80.1400000000
2017-01,98.8000000000,18.3000000000,-57.3000000000,102.2000000000,79.3600000000
2017-02,98.2000000000,18.2000000000,-28.1000000000,99.6000000000,79.0900000000
2017-03,98.8000000000,18.0000000000,-37.9000000000,99.6000000000,79.9800000000
2017-04,100.0000000000,17.6000000000,-23.7000000000,99.6000000000,80.7100000000
2017-05,99.7000000000,17.4000000000,-27.2000000000,100.8000000000,80.6600000000
2017-06,100.3000000000,17.1000000000,-26.2000000000,101.8000000000,80.7100000000
2017-07,100.2000000000,16.9000000000,-17.4000000000,100.4000000000,79.7300000000
2017-08,100.0000000000,16.7000000000,-30.0000000000,101.3000000000,79.8700000000
2017-09,100.3000000000,16.7000000000,-13.1000000000,101.8000000000,80.3500000000
2017-10,97.6000000000,16.7000000000,-14.0000000000,102.6000000000,80.8600000000
2017-11,100.6000000000,16.7000000000,-11.3000000000,103.7000000000,81.1200000000
2017-12,100.5000000000,16.6000000000,-15.0000000000,105.3000000000,81.1200000000
2018-01,99.8000000000,16.4000000000,-5.7000000000,102.3000000000,79.9300000000
2018-02,100.2000000000,16.2000000000,-0.9000000000,102.5000000000,80.0400000000
2018-03,100.5000000000,15.9000000000,-6.9000000000,104.9000000000,81.0000000000
2018-04,100.7000000000,15.7000000000,-15.2000000000,102.6000000000,81.6100000000
2018-05,99.8000000000,15.5000000000,-2.6000000000,102.2000000000,82.3700000000
2018-06,100.2000000000,15.2000000000,-9.6000000000,102.0000000000,82.5600000000
2018-07,100.0000000000,15.0000000000,-19.7000000000,102.1000000000,81.5800000000
2018-08,99.8000000000,14.8000000000,-15.5000000000,101.8000000000,81.6500000000
2018-09,99.6000000000,14.7000000000,6.4000000000,101.6000000000,82.1700000000
2018-10,100.3000000000,14.7000000000,1.0000000000,102.7000000000,82.7300000000
2018-11,101.1000000000,14.6000000000,2.7000000000,101.0000000000,82.5300000000
2018-12,101.0000000000,14.4000000000,-5.3000000000,101.2000000000,82.1200000000
2019-01,102.2000000000,14.3000000000,3.8000000000,104.8000000000,80.7400000000
2019-02,101.9000000000,14.2000000000,-3.2000000000,102.7000000000,80.9100000000
2019-03,101.4000000000,14.2000000000,-3.4000000000,101.6000000000,82.0400000000
2019-04,102.0000000000,14.2000000000,-10.7000000000,103.5000000000,82.9600000000
2019-05,102.2000000000,14.3000000000,-28.9000000000,103.0000000000,83.1500000000
2019-06,102.7000000000,14.2000000000,4.0000000000,102.2000000000,83.0500000000
2019-07,103.0000000000,14.2000000000,-4.6000000000,101.4000000000,82.1100000000
2019-08,102.7000000000,14.1000000000,-14.2000000000,102.4000000000,82.0200000000
2019-09,103.4000000000,14.0000000000,-5.6000000000,102.1000000000,82.3400000000
2019-10,103.0000000000,14.0000000000,-6.7000000000,103.7000000000,82.8800000000
2019-11,103.3000000000,13.9000000000,-11.0000000000,102.5000000000,82.9100000000
2019-12,103.2000000000,13.8000000000,-11.8000000000,101.8000000000,82.8100000000
2020-01,103.1000000000,13.8000000000,-4.1000000000,100.9000000000,81.6600000000
2020-02,104.2000000000,13.6000000000,-3.1000000000,104.0000000000,81.6100000000
2020-03,88.1000000000,14.5000000000,-10.7000000000,87.7000000000,82.1000000000
2020-04,72.2000000000,15.3000000000,-32.1000000000,67.3000000000,82.3900000000
2020-05,83.7000000000,15.5000000000,-41.2000000000,77.7000000000,82.4400000000
2020-06,98.0000000000,16.0000000000,-17.9000000000,87.3000000000,82.8000000000
2020-07,99.4000000000,16.2000000000,-20.2000000000,94.7000000000,81.5100000000
2020-08,99.8000000000,16.5000000000,-32.9000000000,98.1000000000,81.5100000000
2020-09,99.4000000000,16.4000000000,-19.2000000000,98.2000000000,81.8700000000
2020-10,100.1000000000,16.3000000000,-7.3000000000,99.7000000000,82.1300000000
2020-11,99.7000000000,16.2000000000,-9.0000000000,100.3000000000,82.2100000000
2020-12,101.3000000000,16.2000000000,-11.6000000000,100.4000000000,82.3400000000
2021-01,94.5000000000,15.9000000000,-6.7000000000,100.0000000000,82.0200000000
2021-02,97.6000000000,15.7000000000,-6.9000000000,98.9000000000,81.5400000000
2021-03,100.6000000000,15.5000000000,-3.3000000000,101.4000000000,83.0800000000
2021-04,97.8000000000,15.7000000000,-4.3000000000,99.3000000000,84.0000000000
2021-05,99.2000000000,15.7000000000,-7.2000000000,99.5000000000,84.4500000000
2021-06,100.1000000000,15.6000000000,8.0000000000,97.1000000000,84.8500000000
2021-07,100.3000000000,15.2000000000,-4.4000000000,98.4000000000,83.8400000000
2021-08,100.9000000000,14.8000000000,-10.2000000000,100.8000000000,84.2100000000
2021-09,101.3000000000,14.4000000000,8.2000000000,99.3000000000,85.1700000000
2021-10,101.6000000000,13.9000000000,5.5000000000,99.6000000000,86.5400000000
2021-11,105.2000000000,13.5000000000,-1.6000000000,102.4000000000,86.7500000000
2021-12,101.2000000000,13.3000000000,0.2000000000,103.4000000000,87.7500000000
2022-01,101.1000000000,13.3000000000,-0.1000000000,102.9000000000,87.0600000000
2022-02,102.8000000000,13.2000000000,5.7000000000,102.3000000000,87.7600000000
2022-03,100.0000000000,13.3000000000,10.6000000000,98.5000000000,91.2000000000
2022-04,102.2000000000,13.2000000000,5.9000000000,104.1000000000,90.9700000000
2022-05,103.5000000000,12.9000000000,17.4000000000,104.5000000000,91.6100000000
2022-06,102.2000000000,12.9000000000,2.7000000000,103.0000000000,93.3500000000
2022-07,101.7000000000,12.7000000000,2.3000000000,102.8000000000,92.8100000000
2022-08,103.0000000000,12.8000000000,9.9000000000,103.5000000000,93.0500000000
2022-09,102.8000000000,13.0000000000,6.8000000000,103.5000000000,92.8200000000
2022-10,102.4000000000,13.1000000000,14.6000000000,101.5000000000,92.8600000000
2022-11,102.5000000000,13.2000000000,12.5000000000,101.0000000000,92.5500000000
2022-12,102.3000000000,13.2000000000,17.7000000000,102.0000000000,92.5600000000
2023-01,104.5000000000,13.1000000000,-6.9000000000,101.7000000000,92.1600000000
2023-02,103.4000000000,12.9000000000,12.0000000000,100.7000000000,93.0300000000
2023-03,104.1000000000,12.5000000000,6.1000000000,102.5000000000,94.0100000000
2023-04,105.5000000000,12.1000000000,10.0000000000,101.0000000000,94.4400000000
2023-05,105.1000000000,12.0000000000,11.5000000000,100.3000000000,94.3100000000
2023-06,105.1000000000,11.9000000000,14.6000000000,100.8000000000,94.8500000000
2023-07,105.2000000000,12.0000000000,13.2000000000,100.6000000000,94.7800000000
2023-08,104.4000000000,12.0000000000,0.9000000000,99.9000000000,95.2900000000
2023-09,103.8000000000,12.0000000000,4.5000000000,100.6000000000,95.8400000000
2023-10,104.4000000000,12.0000000000,7.6000000000,99.7000000000,96.0900000000
2023-11,106.2000000000,12.0000000000,15.9000000000,101.1000000000,95.5800000000
2023-12,104.9000000000,11.9000000000,15.3000000000,99.9000000000,95.5900000000
2024-01,105.4000000000,11.9000000000,2.3000000000,102.4000000000,95.4000000000
2024-02,105.5000000000,11.7000000000,6.5000000000,103.9000000000,95.7700000000
2024-03,105.0000000000,11.6000000000,9.0000000000,101.3000000000,97.0600000000
2024-04,106.1000000000,11.6000000000,12.9000000000,101.0000000000,97.6500000000
2024-05,105.5000000000,11.6000000000,14.4000000000,100.2000000000,97.8700000000
2024-06,105.4000000000,11.5000000000,-0.8000000000,100.8000000000,98.2600000000
2024-07,106.5000000000,11.4000000000,11.9000000000,99.9000000000,97.5200000000
2024-08,107.0000000000,11.3000000000,1.4000000000,99.1000000000,97.5500000000
2024-09,107.9000000000,11.1000000000,7.8000000000,101.1000000000,97.4600000000
2024-10,108.1000000000,10.9000000000,14.1000000000,102.3000000000,97.8400000000
2024-11,106.9000000000,10.8000000000,8.7000000000,100.0000000000,97.8700000000
2024-12,109.3000000000,10.8000000000,5.3000000000,102.2000000000,98.3000000000
2025-01,108.1000000000,10.8000000000,11.7000000000,101.4000000000,98.1500000000
2025-02,109.6000000000,10.8000000000,16.6000000000,102.4000000000,98.5400000000
