date,retail_volume,unemployment_rate,consumer_confidence,industrial_production,hicp,industry_confidence,construction_confidence,economic_sentiment,employment_expectations,industry_employment_expectations,construction_production,retail_employment,industrial_turnover
2009-11,111.6000000000,18.7000000000,-18.1000000000,104.3000000000,73.6000000000,-21.9000000000,-18.1000000000,86.2000000000,83.8000000000,-18.4000000000,151.7000000000,100.8000000000,81.0000000000
2009-12,113.3000000000,18.9000000000,-24.6000000000,102.4000000000,73.5900000000,-22.4000000000,-24.6000000000,86.5000000000,85.0000000000,-19.7000000000,147.8000000000,100.6000000000,81.4000000000
2010-01,112.0000000000,19.1000000000,-31.5000000000,100.1000000000,72.5100000000,-19.7000000000,-31.5000000000,87.6000000000,84.3000000000,-16.2000000000,148.2000000000,100.6000000000,81.6000000000
2010-02,112.2000000000,19.2000000000,-40.3000000000,100.4000000000,72.3400000000,-20.7000000000,-40.3000000000,86.4000000000,84.7000000000,-14.0000000000,145.8000000000,100.6000000000,81.4000000000
2010-03,114.1000000000,19.4000000000,-15.1000000000,105.0000000000,74.0700000000,-16.3000000000,-15.1000000000,89.8000000000,86.6000000000,-16.5000000000,146.3000000000,100.5000000000,83.6000000000
2010-04,110.2000000000,19.8000000000,-18.1000000000,102.1000000000,74.5800000000,-13.8000000000,-18.1000000000,91.9000000000,86.5000000000,-12.1000000000,119.3000000000,100.4000000000,82.5000000000
2010-05,111.7000000000,20.0000000000,-24.0000000000,104.7000000000,74.6100000000,-15.8000000000,-24.0000000000,87.1000000000,83.9000000000,-11.7000000000,117.4000000000,100.4000000000,84.2000000000
2010-06,113.2000000000,20.1000000000,-31.4000000000,103.8000000000,74.6900000000,-13.8000000000,-31.4000000000,88.2000000000,86.1000000000,-12.7000000000,188.9000000000,100.5000000000,85.2000000000
2010-07,108.9000000000,19.9000000000,-30.4000000000,103.2000000000,73.8600000000,-13.2000000000,-30.4000000000,87.8000000000,85.0000000000,-10.0000000000,92.7000000000,100.3000000000,84.1000000000
2010-08,109.0000000000,20.0000000000,-29.8000000000,104.1000000000,74.0200000000,-12.8000000000,-29.8000000000,89.2000000000,85.0000000000,-9.8000000000,102.5000000000,100.3000000000,83.5000000000
2010-09,108.5000000000,20.1000000000,-21.2000000000,102.0000000000,74.7000000000,-14.2000000000,-21.2000000000,89.9000000000,87.6000000000,-8.6000000000,98.9000000000,100.1000000000,84.8000000000
2010-10,108.8000000000,20.1000000000,-40.7000000000,102.8000000000,75.0400000000,-12.2000000000,-40.7000000000,88.8000000000,88.0000000000,-9.1000000000,101.2000000000,100.1000000000,86.2000000000
2010-11,107.7000000000,20.2000000000,-44.7000000000,105.4000000000,75.2700000000,-11.8000000000,-44.7000000000,89.4000000000,88.8000000000,-10.6000000000,102.9000000000,100.2000000000,87.5000000000
2010-12,106.8000000000,20.4000000000,-51.7000000000,102.9000000000,75.6900000000,-9.6000000000,-51.7000000000,88.4000000000,86.3000000000,-5.1000000000,104.3000000000,100.2000000000,87.0000000000
2011-01,105.7000000000,20.4000000000,-56.6000000000,104.0000000000,74.7000000000,-10.1000000000,-56.6000000000,88.0000000000,85.6000000000,-9.0000000000,103.1000000000,100.2000000000,88.6000000000
2011-02,105.9000000000,20.5000000000,-61.4000000000,103.2000000000,74.7800000000,-10.5000000000,-61.4000000000,88.3000000000,87.5000000000,-6.4000000000,103.9000000000,100.2000000000,88.7000000000
2011-03,104.3000000000,20.6000000000,-62.1000000000,102.8000000000,76.5400000000,-12.3000000000,-62.1000000000,87.2000000000,86.9000000000,-6.8000000000,104.9000000000,100.1000000000,89.3000000000
2011-04,106.0000000000,20.6000000000,-51.5000000000,102.4000000000,77.2100000000,-11.8000000000,-51.5000000000,87.0000000000,83.9000000000,-6.5000000000,105.0000000000,100.2000000000,89.6000000000
2011-05,104.1000000000,20.7000000000,-54.8000000000,102.5000000000,77.1200000000,-13.6000000000,-54.8000000000,90.6000000000,86.0000000000,-7.9000000000,107.6000000000,100.1000000000,88.4000000000
2011-06,103.7000000000,21.0000000000,-52.1000000000,100.5000000000,76.9700000000,-10.8000000000,-52.1000000000,92.5000000000,85.0000000000,-7.2000000000,101.7000000000,100.0000000000,88.2000000000
2011-07,103.8000000000,21.4000000000,-55.2000000000,101.1000000000,76.0700000000,-14.1000000000,-55.2000000000,90.1000000000,84.9000000000,-10.8000000000,103.2000000000,99.9000000000,89.1000000000
2011-08,102.0000000000,21.7000000000,-46.8000000000,100.5000000000,76.0400000000,-12.8000000000,-46.8000000000,91.4000000000,86.6000000000,-10.1000000000,100.2000000000,99.8000000000,89.4000000000
2011-09,102.5000000000,22.1000000000,-57.1000000000,101.0000000000,76.9600000000,-16.1000000000,-57.1000000000,87.7000000000,85.5000000000,-12.3000000000,102.8000000000,99.8000000000,89.3000000000
2011-10,101.9000000000,22.4000000000,-51.6000000000,98.3000000000,77.2800000000,-14.6000000000,-51.6000000000,87.5000000000,80.9000000000,-17.3000000000,82.8000000000,99.5000000000,87.8000000000
2011-11,100.2000000000,22.6000000000,-49.0000000000,97.7000000000,77.4500000000,-17.5000000000,-49.0000000000,87.7000000000,83.8000000000,-15.8000000000,98.7000000000,99.5000000000,86.9000000000
2011-12,100.1000000000,22.9000000000,-59.1000000000,99.3000000000,77.4700000000,-20.1000000000,-59.1000000000,84.5000000000,81.0000000000,-18.5000000000,97.9000000000,99.2000000000,87.1000000000
2012-01,101.7000000000,23.2000000000,-62.8000000000,99.0000000000,76.1800000000,-14.2000000000,-62.8000000000,88.9000000000,83.1000000000,-15.1000000000,96.4000000000,98.9000000000,87.9000000000
2012-02,99.4000000000,23.6000000000,-50.8000000000,98.4000000000,76.2100000000,-15.7000000000,-50.8000000000,87.1000000000,86.4000000000,-16.1000000000,94.8000000000,98.6000000000,89.2000000000
2012-03,99.8000000000,23.9000000000,-47.3000000000,94.3000000000,77.8900000000,-16.2000000000,-47.3000000000,86.9000000000,82.1000000000,-15.9000000000,92.8000000000,98.5000000000,85.7000000000
2012-04,96.3000000000,24.2000000000,-48.6000000000,94.7000000000,78.7300000000,-16.3000000000,-48.6000000000,85.4000000000,84.3000000000,-15.0000000000,93.7000000000,98.3000000000,86.9000000000
2012-05,97.7000000000,24.6000000000,-54.1000000000,94.4000000000,78.5700000000,-15.4000000000,-54.1000000000,85.8000000000,81.6000000000,-17.9000000000,91.2000000000,98.0000000000,85.6000000000
2012-06,97.5000000000,24.8000000000,-46.0000000000,95.1000000000,78.3800000000,-18.8000000000,-46.0000000000,85.0000000000,85.2000000000,-18.7000000000,96.4000000000,97.8000000000,84.7000000000
2012-07,96.5000000000,25.0000000000,-43.2000000000,94.4000000000,77.7100000000,-17.1000000000,-43.2000000000,84.6000000000,86.5000000000,-17.6000000000,93.8000000000,97.6000000000,86.0000000000
2012-08,98.2000000000,25.2000000000,-61.1000000000,95.8000000000,78.1100000000,-20.2000000000,-61.1000000000,80.4000000000,87.6000000000,-20.6000000000,100.6000000000,97.5000000000,92.7000000000
2012-09,88.6000000000,25.5000000000,-52.3000000000,92.4000000000,79.6100000000,-18.4000000000,-52.3000000000,80.9000000000,81.9000000000,-15.6000000000,95.3000000000,97.3000000000,86.0000000000
2012-10,89.6000000000,25.7000000000,-61.4000000000,92.6000000000,79.9800000000,-18.7000000000,-61.4000000000,83.8000000000,81.2000000000,-13.3000000000,98.8000000000,97.2000000000,86.8000000000
2012-11,89.3000000000,25.9000000000,-67.2000000000,90.7000000000,79.7900000000,-16.8000000000,-67.2000000000,84.5000000000,82.6000000000,-13.2000000000,99.8000000000,96.8000000000,84.2000000000
2012-12,89.7000000000,26.0000000000,-64.0000000000,91.6000000000,79.7900000000,-16.3000000000,-64.0000000000,83.6000000000,82.1000000000,-12.8000000000,101.7000000000,96.7000000000,87.0000000000
2013-01,89.9000000000,26.2000000000,-45.5000000000,92.4000000000,78.3400000000,-16.8000000000,-45.5000000000,84.9000000000,81.0000000000,-16.2000000000,88.1000000000,96.6000000000,84.2000000000
2013-02,90.4000000000,26.4000000000,-55.8000000000,90.9000000000,78.4200000000,-13.5000000000,-55.8000000000,85.8000000000,84.8000000000,-9.4000000000,90.7000000000,96.5000000000,83.7000000000
2013-03,89.5000000000,26.3000000000,-48.6000000000,92.8000000000,79.8700000000,-15.4000000000,-48.6000000000,84.7000000000,84.3000000000,-9.8000000000,94.5000000000,96.3000000000,84.9000000000
2013-04,90.0000000000,26.3000000000,-54.0000000000,91.4000000000,79.9300000000,-15.8000000000,-54.0000000000,86.6000000000,86.6000000000,-10.6000000000,93.9000000000,96.1000000000,82.8000000000
2013-05,90.6000000000,26.2000000000,-66.4000000000,91.3000000000,80.0100000000,-14.3000000000,-66.4000000000,87.5000000000,85.9000000000,-9.2000000000,96.8000000000,96.0000000000,83.6000000000
2013-06,90.8000000000,26.1000000000,-48.6000000000,93.0000000000,80.1000000000,-13.4000000000,-48.6000000000,89.6000000000,89.7000000000,-9.0000000000,101.7000000000,95.8000000000,83.4000000000
2013-07,91.1000000000,26.2000000000,-59.3000000000,92.1000000000,79.1900000000,-13.1000000000,-59.3000000000,91.4000000000,89.7000000000,-7.1000000000,102.9000000000,95.8000000000,83.5000000000
2013-08,91.3000000000,26.1000000000,-68.9000000000,93.1000000000,79.3900000000,-12.2000000000,-68.9000000000,91.7000000000,87.8000000000,-7.0000000000,104.4000000000,95.7000000000,85.4000000000
2013-09,90.5000000000,26.1000000000,-44.9000000000,93.3000000000,80.0000000000,-11.7000000000,-44.9000000000,94.6000000000,90.3000000000,-10.0000000000,103.5000000000,95.6000000000,84.3000000000
2013-10,89.9000000000,26.0000000000,-69.9000000000,93.5000000000,80.0200000000,-14.0000000000,-69.9000000000,91.5000000000,89.4000000000,-7.6000000000,103.5000000000,95.5000000000,82.6000000000
2013-11,90.3000000000,25.9000000000,-61.4000000000,92.5000000000,80.0300000000,-12.2000000000,-61.4000000000,92.9000000000,86.6000000000,-7.7000000000,104.1000000000,95.6000000000,83.3000000000
2013-12,90.0000000000,25.5000000000,-48.4000000000,93.7000000000,80.0400000000,-9.3000000000,-48.4000000000,97.2000000000,93.3000000000,-7.2000000000,105.9000000000,95.6000000000,84.4000000000
2014-01,89.7000000000,25.5000000000,-54.7000000000,92.6000000000,78.5600000000,-9.7000000000,-54.7000000000,96.6000000000,95.5000000000,-6.1000000000,106.0000000000,95.7000000000,84.5000000000
2014-02,90.4000000000,25.3000000000,-55.0000000000,93.6000000000,78.4600000000,-7.7000000000,-55.0000000000,96.8000000000,89.9000000000,-12.0000000000,109.6000000000,95.7000000000,83.7000000000
2014-03,90.0000000000,25.1000000000,-50.1000000000,93.0000000000,79.7000000000,-9.7000000000,-50.1000000000,98.2000000000,91.2000000000,-11.9000000000,130.5000000000,95.7000000000,83.2000000000
2014-04,90.7000000000,24.8000000000,-51.5000000000,95.0000000000,80.2000000000,-9.7000000000,-51.5000000000,97.1000000000,94.9000000000,-9.9000000000,126.6000000000,95.8000000000,86.2000000000
2014-05,91.1000000000,24.6000000000,-49.5000000000,93.9000000000,80.1800000000,-8.7000000000,-49.5000000000,97.6000000000,95.9000000000,-6.2000000000,123.2000000000,95.9000000000,84.5000000000
2014-06,91.0000000000,24.4000000000,-62.7000000000,93.4000000000,80.1400000000,-7.2000000000,-62.7000000000,100.8000000000,95.9000000000,-4.8000000000,117.5000000000,96.0000000000,85.2000000000
2014-07,91.1000000000,24.3000000000,-35.0000000000,93.4000000000,78.9100000000,-5.5000000000,-35.0000000000,101.0000000000,95.1000000000,-3.6000000000,117.1000000000,96.0000000000,84.5000000000
2014-08,91.6000000000,24.1000000000,-32.2000000000,93.4000000000,78.9800000000,-6.4000000000,-32.2000000000,100.2000000000,98.3000000000,-6.4000000000,116.2000000000,96.1000000000,86.3000000000
2014-09,91.3000000000,24.0000000000,-23.8000000000,94.4000000000,79.7800000000,-6.8000000000,-23.8000000000,101.6000000000,97.1000000000,-6.6000000000,116.7000000000,96.1000000000,84.8000000000
2014-10,91.4000000000,24.0000000000,-22.2000000000,94.6000000000,79.8400000000,-6.9000000000,-22.2000000000,99.9000000000,98.2000000000,-0.9000000000,115.1000000000,96.3000000000,82.8000000000
2014-11,92.3000000000,23.8000000000,-25.2000000000,94.7000000000,79.6500000000,-5.4000000000,-25.2000000000,101.7000000000,99.7000000000,-4.6000000000,116.3000000000,96.2000000000,83.7000000000
2014-12,93.2000000000,23.6000000000,-27.5000000000,94.0000000000,79.1300000000,-6.9000000000,-27.5000000000,102.7000000000,97.7000000000,-5.2000000000,113.4000000000,96.3000000000,83.1000000000
2015-01,93.6000000000,23.4000000000,-28.4000000000,93.2000000000,77.4100000000,-4.5000000000,-28.4000000000,104.4000000000,101.4000000000,2.7000000000,116.4000000000,96.4000000000,84.0000000000
2015-02,93.5000000000,23.1000000000,-26.4000000000,94.8000000000,77.5200000000,-3.3000000000,-26.4000000000,105.7000000000,104.7000000000,1.2000000000,113.2000000000,96.5000000000,84.5000000000
2015-03,94.3000000000,22.9000000000,-20.8000000000,97.4000000000,79.0800000000,-0.7000000000,-20.8000000000,107.5000000000,104.2000000000,4.8000000000,117.9000000000,96.6000000000,86.6000000000
2015-04,93.7000000000,22.7000000000,-30.4000000000,94.8000000000,79.6100000000,0.5000000000,-30.4000000000,109.1000000000,102.8000000000,3.6000000000,118.3000000000,96.8000000000,84.7000000000
2015-05,94.6000000000,22.5000000000,-30.4000000000,97.0000000000,79.9600000000,2.1000000000,-30.4000000000,109.3000000000,105.1000000000,2.9000000000,119.0000000000,96.9000000000,87.7000000000
2015-06,93.5000000000,22.3000000000,-31.9000000000,97.8000000000,80.1200000000,1.1000000000,-31.9000000000,108.0000000000,98.8000000000,-0.4000000000,117.0000000000,97.0000000000,87.1000000000
2015-07,94.8000000000,21.9000000000,-28.5000000000,98.9000000000,78.8800000000,-0.2000000000,-28.5000000000,108.0000000000,101.7000000000,-1.0000000000,118.0000000000,97.1000000000,87.6000000000
2015-08,95.6000000000,21.6000000000,-23.2000000000,97.7000000000,78.5600000000,1.3000000000,-23.2000000000,109.3000000000,103.0000000000,4.7000000000,119.2000000000,97.3000000000,85.0000000000
2015-09,96.1000000000,21.4000000000,-29.6000000000,98.1000000000,78.8800000000,0.2000000000,-29.6000000000,108.4000000000,105.0000000000,7.2000000000,119.6000000000,97.4000000000,85.4000000000
2015-10,96.5000000000,21.3000000000,-27.6000000000,97.6000000000,79.1300000000,-2.4000000000,-27.6000000000,106.4000000000,102.1000000000,1.9000000000,120.6000000000,97.6000000000,85.2000000000
2015-11,96.8000000000,20.9000000000,-23.6000000000,98.6000000000,79.3300000000,-2.8000000000,-23.6000000000,107.2000000000,106.5000000000,0.7000000000,120.4000000000,97.7000000000,85.4000000000
2015-12,97.2000000000,20.8000000000,-18.9000000000,97.9000000000,79.0300000000,1.6000000000,-18.9000000000,111.5000000000,109.7000000000,4.8000000000,122.2000000000,97.9000000000,85.1000000000
2016-01,97.7000000000,20.5000000000,-31.3000000000,98.0000000000,77.0900000000,-2.2000000000,-31.3000000000,107.1000000000,104.1000000000,-2.8000000000,123.1000000000,97.9000000000,85.1000000000
2016-02,97.9000000000,20.4000000000,-24.1000000000,99.9000000000,76.7600000000,-2.1000000000,-24.1000000000,106.4000000000,105.3000000000,4.7000000000,124.5000000000,98.1000000000,87.0000000000
2016-03,97.7000000000,20.3000000000,-42.6000000000,98.6000000000,78.3000000000,-1.6000000000,-42.6000000000,106.1000000000,103.9000000000,6.4000000000,122.6000000000,98.3000000000,85.7000000000
2016-04,98.3000000000,20.3000000000,-39.5000000000,100.7000000000,78.6800000000,-2.2000000000,-39.5000000000,105.0000000000,104.4000000000,3.3000000000,126.3000000000,98.4000000000,85.4000000000
2016-05,98.2000000000,20.2000000000,-45.5000000000,98.2000000000,79.1000000000,-3.6000000000,-45.5000000000,104.6000000000,102.3000000000,4.0000000000,124.1000000000,98.5000000000,83.7000000000
2016-06,98.8000000000,19.9000000000,-47.7000000000,97.1000000000,79.4300000000,-1.1000000000,-47.7000000000,106.2000000000,101.0000000000,5.3000000000,124.9000000000,98.6000000000,85.9000000000
2016-07,99.2000000000,19.5000000000,-37.0000000000,97.5000000000,78.3700000000,-2.3000000000,-37.0000000000,105.8000000000,106.5000000000,8.2000000000,124.9000000000,98.9000000000,85.7000000000
2016-08,98.9000000000,19.3000000000,-45.5000000000,98.6000000000,78.3400000000,-4.8000000000,-45.5000000000,103.3000000000,101.3000000000,2.0000000000,124.2000000000,99.0000000000,86.5000000000
2016-09,99.3000000000,19.1000000000,-39.9000000000,99.0000000000,78.9000000000,-2.6000000000,-39.9000000000,105.4000000000,103.4000000000,1.6000000000,124.4000000000,99.1000000000,86.6000000000
2016-10,99.1000000000,18.9000000000,-45.4000000000,98.0000000000,79.5200000000,-0.5000000000,-45.4000000000,107.4000000000,104.5000000000,1.4000000000,124.4000000000,99.1000000000,88.7000000000
2016-11,98.5000000000,18.8000000000,-34.0000000000,99.1000000000,79.7100000000,0.6000000000,-34.0000000000,108.9000000000,107.1000000000,3.9000000000,125.5000000000,99.3000000000,89.6000000000
2016-12,98.0000000000,18.5000000000,-37.0000000000,99.1000000000,80.1400000000,-2.9000000000,-37.0000000000,106.9000000000,107.7000000000,-1.2000000000,124.9000000000,99.4000000000,89.3000000000
2017-01,98.8000000000,18.3000000000,-57.3000000000,102.2000000000,79.3600000000,0.3000000000,-57.3000000000,107.5000000000,106.5000000000,8.1000000000,123.3000000000,99.5000000000,91.0000000000
2017-02,98.2000000000,18.2000000000,-28.1000000000,99.6000000000,79.0900000000,3.2000000000,-28.1000000000,109.8000000000,108.1000000000,4.8000000000,122.1000000000,99.5000000000,91.1000000000
2017-03,98.8000000000,18.0000000000,-37.9000000000,99.6000000000,79.9800000000,-0.1000000000,-37.9000000000,107.2000000000,110.0000000000,5.1000000000,122.6000000000,99.6000000000,91.9000000000
2017-04,100.0000000000,17.6000000000,-23.7000000000,99.6000000000,80.7100000000,-1.1000000000,-23.7000000000,107.8000000000,112.6000000000,8.4000000000,120.4000000000,99.7000000000,91.2000000000
2017-05,99.7000000000,17.4000000000,-27.2000000000,100.8000000000,80.6600000000,-0.1000000000,-27.2000000000,108.0000000000,109.7000000000,5.2000000000,122.3000000000,99.8000000000,92.9000000000
2017-06,100.3000000000,17.1000000000,-26.2000000000,101.8000000000,80.7100000000,1.8000000000,-26.2000000000,109.7000000000,109.4000000000,7.6000000000,123.5000000000,100.0000000000,91.9000000000
2017-07,100.2000000000,16.9000000000,-17.4000000000,100.4000000000,79.7300000000,-1.5000000000,-17.4000000000,107.8000000000,112.1000000000,4.5000000000,123.3000000000,99.8000000000,91.5000000000
2017-08,100.0000000000,16.7000000000,-30.0000000000,101.3000000000,79.8700000000,-0.2000000000,-30.0000000000,109.6000000000,108.1000000000,4.3000000000,124.5000000000,99.9000000000,93.2000000000
2017-09,100.3000000000,16.7000000000,-13.1000000000,101.8000000000,80.3500000000,2.1000000000,-13.1000000000,110.3000000000,109.5000000000,3.9000000000,123.5000000000,100.0000000000,94.8000000000
2017-10,97.6000000000,16.7000000000,-14.0000000000,102.6000000000,80.8600000000,2.1000000000,-14.0000000000,110.9000000000,111.2000000000,10.0000000000,124.3000000000,100.1000000000,95.5000000000
2017-11,100.6000000000,16.7000000000,-11.3000000000,103.7000000000,81.1200000000,5.6000000000,-11.3000000000,112.6000000000,107.6000000000,-0.7000000000,122.2000000000,100.2000000000,96.9000000000
2017-12,100.5000000000,16.6000000000,-15.0000000000,105.3000000000,81.1200000000,4.3000000000,-15.0000000000,112.1000000000,111.6000000000,11.3000000000,123.1000000000,100.3000000000,99.6000000000
2018-01,99.8000000000,16.4000000000,-5.7000000000,102.3000000000,79.9300000000,3.8000000000,-5.7000000000,112.2000000000,109.6000000000,6.5000000000,124.1000000000,100.3000000000,96.8000000000
2018-02,100.2000000000,16.2000000000,-0.9000000000,102.5000000000,80.0400000000,2.5000000000,-0.9000000000,111.3000000000,109.0000000000,4.5000000000,126.6000000000,100.4000000000,94.8000000000
2018-03,100.5000000000,15.9000000000,-6.9000000000,104.9000000000,81.0000000000,1.0000000000,-6.9000000000,108.6000000000,112.3000000000,5.8000000000,125.2000000000,100.6000000000,96.7000000000
2018-04,100.7000000000,15.7000000000,-15.2000000000,102.6000000000,81.6100000000,3.2000000000,-15.2000000000,110.7000000000,112.2000000000,4.0000000000,124.7000000000,100.5000000000,97.2000000000
2018-05,99.8000000000,15.5000000000,-2.6000000000,102.2000000000,82.3700000000,-0.1000000000,-2.6000000000,108.2000000000,112.7000000000,4.4000000000,124.3000000000,100.7000000000,97.8000000000
2018-06,100.2000000000,15.2000000000,-9.6000000000,102.0000000000,82.5600000000,0.0000000000,-9.6000000000,109.4000000000,113.5000000000,5.5000000000,123.7000000000,100.7000000000,98.3000000000
2018-07,100.0000000000,15.0000000000,-19.7000000000,102.1000000000,81.5800000000,-2.8000000000,-19.7000000000,106.8000000000,109.9000000000,1.3000000000,122.9000000000,100.9000000000,98.1000000000
2018-08,99.8000000000,14.8000000000,-15.5000000000,101.8000000000,81.6500000000,-4.7000000000,-15.5000000000,105.5000000000,108.4000000000,-1.3000000000,123.4000000000,100.9000000000,98.9000000000
2018-09,99.6000000000,14.7000000000,6.4000000000,101.6000000000,82.1700000000,-3.7000000000,6.4000000000,105.2000000000,108.7000000000,1.8000000000,124.7000000000,101.0000000000,97.8000000000
2018-10,100.3000000000,14.7000000000,1.0000000000,102.7000000000,82.7300000000,-1.2000000000,1.0000000000,107.8000000000,108.5000000000,-1.0000000000,122.9000000000,101.2000000000,99.8000000000
2018-11,101.1000000000,14.6000000000,2.7000000000,101.0000000000,82.5300000000,0.1000000000,2.7000000000,108.0000000000,112.6000000000,3.8000000000,124.5000000000,101.3000000000,97.6000000000
2018-12,101.0000000000,14.4000000000,-5.3000000000,101.2000000000,82.1200000000,-3.4000000000,-5.3000000000,104.5000000000,105.5000000000,4.2000000000,125.5000000000,101.3000000000,96.6000000000
2019-01,102.2000000000,14.3000000000,3.8000000000,104.8000000000,80.7400000000,-4.0000000000,3.8000000000,104.4000000000,109.5000000000,3.2000000000,123.7000000000,101.4000000000,96.9000000000
2019-02,101.9000000000,14.2000000000,-3.2000000000,102.7000000000,80.9100000000,-4.4000000000,-3.2000000000,105.4000000000,108.6000000000,2.7000000000,123.2000000000,101.6000000000,97.9000000000
2019-03,101.4000000000,14.2000000000,-3.4000000000,101.6000000000,82.0400000000,-1.4000000000,-3.4000000000,107.8000000000,110.5000000000,5.4000000000,124.4000000000,101.5000000000,96.7000000000
2019-04,102.0000000000,14.2000000000,-10.7000000000,103.5000000000,82.9600000000,-4.6000000000,-10.7000000000,104.4000000000,109.2000000000,6.1000000000,123.3000000000,101.7000000000,99.4000000000
2019-05,102.2000000000,14.3000000000,-28.9000000000,103.0000000000,83.1500000000,-3.9000000000,-28.9000000000,105.0000000000,105.3000000000,4.8000000000,123.8000000000,101.7000000000,98.7000000000
2019-06,102.7000000000,14.2000000000,4.0000000000,102.2000000000,83.0500000000,-3.8000000000,4.0000000000,104.6000000000,106.2000000000,4.7000000000,121.9000000000,101.8000000000,96.1000000000
