case_name,path,rank,source,target,lag,weight,score,sample_count,transform
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,6,employment_expectations,retail_volume,2,-0.2097637560,0.2097637560,189,diff
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,7,industry_employment_expectations,retail_volume,2,-0.1958861154,0.1958861154,189,diff
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,8,hicp,retail_volume,2,0.1525582070,0.1525582070,189,diff
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,9,construction_production,retail_volume,1,-0.1169434381,0.1169434381,190,diff
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,10,unemployment_rate,retail_volume,2,0.1041165392,0.1041165392,189,diff
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,11,construction_confidence,retail_volume,2,-0.0357951241,0.0357951241,189,diff
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,12,consumer_confidence,retail_volume,2,-0.0357951241,0.0357951241,189,diff
spain_industrial_normal_2008_2021,legacy_level_scoring,1,unemployment_rate,industrial_production,1,-0.9296397488,0.9296397488,71,none
spain_industrial_normal_2008_2021,legacy_level_scoring,2,retail_employment,industrial_production,1,0.9063966264,0.9063966264,71,none
spain_industrial_normal_2008_2021,legacy_level_scoring,3,hicp,industrial_production,6,-0.8029141695,0.8029141695,66,none
spain_industrial_normal_2008_2021,legacy_level_scoring,4,industrial_turnover,industrial_production,1,0.7869786819,0.7869786819,71,none
spain_industrial_normal_2008_2021,legacy_level_scoring,5,construction_production,industrial_production,1,0.7861455343,0.7861455343,71,none
spain_industrial_normal_2008_2021,legacy_level_scoring,6,domestic_energy_producer_prices,industrial_production,6,-0.7641965072,0.7641965072,66,none
spain_industrial_normal_2008_2021,legacy_level_scoring,7,construction_confidence,industrial_production,6,0.7256947329,0.7256947329,66,none
spain_industrial_normal_2008_2021,legacy_level_scoring,8,employment_expectations,industrial_production,4,0.5917403073,0.5917403073,68,none
spain_industrial_normal_2008_2021,legacy_level_scoring,9,order_book_assessment,industrial_production,1,0.4743450840,0.4743450840,71,none
spain_industrial_normal_2008_2021,legacy_level_scoring,10,consumer_confidence,industrial_production,6,0.4392920734,0.4392920734,66,none
spain_industrial_normal_2008_2021,legacy_level_scoring,11,services_confidence,industrial_production,4,0.2396668665,0.2396668665,68,none
spain_industrial_normal_2008_2021,legacy_level_scoring,12,industry_employment_expectations,industrial_production,3,0.1627994884,0.1627994884,69,none
spain_industrial_normal_2008_2021,legacy_level_scoring,13,industry_confidence,industrial_production,3,0.1455401936,0.1455401936,69,none
spain_industrial_normal_2008_2021,legacy_level_scoring,14,economic_sentiment,industrial_production,4,0.1125241522,0.1125241522,68,none
spain_industrial_normal_2008_2021,legacy_level_scoring,15,production_expectations,industrial_production,5,0.0628438222,0.0628438222,67,none
spain_industrial_normal_2008_2021,s7_transformed_scoring,1,industry_employment_expectations,industrial_production,1,0.4478671887,0.4478671887,70,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,2,order_book_assessment,industrial_production,1,0.4450182884,0.4450182884,70,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,3,services_confidence,industrial_production,2,0.3791310333,0.3791310333,69,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,4,unemployment_rate,industrial_production,1,-0.3718174992,0.3718174992,70,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,5,economic_sentiment,industrial_production,2,0.3244051521,0.3244051521,69,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,6,employment_expectations,industrial_production,4,0.2788611153,0.2788611153,67,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,7,industry_confidence,industrial_production,1,0.2765810597,0.2765810597,70,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,8,industrial_turnover,industrial_production,2,0.2753954015,0.2753954015,69,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,9,consumer_confidence,industrial_production,6,0.2660658741,0.2660658741,65,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,10,construction_production,industrial_production,5,0.2526286890,0.2526286890,66,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,11,retail_employment,industrial_production,2,0.2243535214,0.2243535214,69,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,12,production_expectations,industrial_production,1,0.2239159950,0.2239159950,70,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,13,hicp,industrial_production,6,-0.1626545801,0.1626545801,65,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,14,domestic_energy_producer_prices,industrial_production,5,-0.1205533395,0.1205533395,66,diff
spain_industrial_normal_2008_2021,s7_transformed_scoring,15,construction_confidence,industrial_production,3,0.0748188341,0.0748188341,68,diff
spain_industrial_shock_2008_2021,legacy_level_scoring,1,unemployment_rate,industrial_production,1,-0.9263506787,0.9263506787,119,none
spain_industrial_shock_2008_2021,legacy_level_scoring,2,retail_employment,industrial_production,1,0.8820612858,0.8820612858,119,none
spain_industrial_shock_2008_2021,legacy_level_scoring,3,industrial_turnover,industrial_production,1,0.7848602199,0.7848602199,119,none
spain_industrial_shock_2008_2021,legacy_level_scoring,4,construction_production,industrial_production,1,0.7657986630,0.7657986630,119,none
spain_industrial_shock_2008_2021,legacy_level_scoring,5,domestic_energy_producer_prices,industrial_production,6,-0.7327846860,0.7327846860,114,none
spain_industrial_shock_2008_2021,legacy_level_scoring,6,construction_confidence,industrial_production,6,0.6433609363,0.6433609363,114,none
spain_industrial_shock_2008_2021,legacy_level_scoring,7,hicp,industrial_production,1,-0.5842936070,0.5842936070,119,none
spain_industrial_shock_2008_2021,legacy_level_scoring,8,employment_expectations,industrial_production,6,0.2920818754,0.2920818754,114,none
spain_industrial_shock_2008_2021,legacy_level_scoring,9,order_book_assessment,industrial_production,6,0.2715728544,0.2715728544,114,none
spain_industrial_shock_2008_2021,legacy_level_scoring,10,consumer_confidence,industrial_production,6,0.2592823712,0.2592823712,114,none
spain_industrial_shock_2008_2021,legacy_level_scoring,11,industry_employment_expectations,industrial_production,6,0.1538731381,0.1538731381,114,none
spain_industrial_shock_2008_2021,legacy_level_scoring,12,industry_confidence,industrial_production,6,0.1125541202,0.1125541202,114,none
spain_industrial_shock_2008_2021,legacy_level_scoring,13,services_confidence,industrial_production,6,0.1046931363,0.1046931363,114,none
spain_industrial_shock_2008_2021,legacy_level_scoring,14,economic_sentiment,industrial_production,6,0.1007104589,0.1007104589,114,none
spain_industrial_shock_2008_2021,legacy_level_scoring,15,production_expectations,industrial_production,1,-0.0870601190,0.0870601190,119,none
spain_industrial_shock_2008_2021,s7_transformed_scoring,1,order_book_assessment,industrial_production,1,0.4233225382,0.4233225382,118,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,2,unemployment_rate,industrial_production,1,-0.4058599392,0.4058599392,118,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,3,industry_employment_expectations,industrial_production,1,0.3649525286,0.3649525286,118,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,4,employment_expectations,industrial_production,4,0.3192204462,0.3192204462,115,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,5,industry_confidence,industrial_production,1,0.2989498340,0.2989498340,118,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,6,services_confidence,industrial_production,2,0.2908332695,0.2908332695,117,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,7,retail_employment,industrial_production,2,0.2903683835,0.2903683835,117,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,8,industrial_turnover,industrial_production,2,0.2846498691,0.2846498691,117,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,9,economic_sentiment,industrial_production,2,0.2769404416,0.2769404416,117,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,10,consumer_confidence,industrial_production,6,0.2564079709,0.2564079709,113,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,11,construction_production,industrial_production,5,0.2272434462,0.2272434462,114,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,12,production_expectations,industrial_production,1,0.1599806358,0.1599806358,118,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,13,domestic_energy_producer_prices,industrial_production,6,-0.1338195950,0.1338195950,113,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,14,hicp,industrial_production,6,-0.1279056055,0.1279056055,113,diff
spain_industrial_shock_2008_2021,s7_transformed_scoring,15,construction_confidence,industrial_production,2,0.0921401173,0.0921401173,117,diff
