track,seed,budget_ratio,threshold,rank,source,tier,selected_lag,weight,score,sample_count
resource_stress,227,0.75,0.1700000000,7,weak_1,weak,1,0.1934493317,0.1934493317,419
resource_stress,227,0.75,0.1700000000,8,medium_3,medium,1,0.1779803016,0.1779803016,419
resource_stress,227,0.50,0.2800000000,1,strong_2,strong,1,-0.4710725573,0.4710725573,419
resource_stress,227,0.50,0.2800000000,2,strong_1,strong,1,0.4138788277,0.4138788277,419
resource_stress,227,0.50,0.2800000000,3,strong_3,strong,1,0.3716931630,0.3716931630,419
resource_stress,227,0.25,0.3900000000,1,strong_2,strong,1,-0.4710725573,0.4710725573,419
resource_stress,227,0.25,0.3900000000,2,strong_1,strong,1,0.4138788277,0.4138788277,419
resource_stress,229,1.00,0.0600000000,1,strong_1,strong,1,0.4317120192,0.4317120192,419
resource_stress,229,1.00,0.0600000000,2,strong_3,strong,1,0.3984717856,0.3984717856,419
resource_stress,229,1.00,0.0600000000,3,strong_2,strong,1,-0.3926331270,0.3926331270,419
resource_stress,229,1.00,0.0600000000,4,medium_1,medium,1,0.2784548768,0.2784548768,419
resource_stress,229,1.00,0.0600000000,5,medium_4,medium,1,-0.2747544162,0.2747544162,419
resource_stress,229,1.00,0.0600000000,6,medium_2,medium,1,-0.2333787289,0.2333787289,419
resource_stress,229,1.00,0.0600000000,7,medium_3,medium,1,0.2239522387,0.2239522387,419
resource_stress,229,1.00,0.0600000000,8,weak_1,weak,2,0.1980491189,0.1980491189,418
resource_stress,229,1.00,0.0600000000,9,weak_2,weak,1,-0.1942173004,0.1942173004,419
resource_stress,229,1.00,0.0600000000,10,weak_3,weak,1,0.0928029851,0.0928029851,419
resource_stress,229,1.00,0.0600000000,11,noise_4,noise,1,-0.0857467759,0.0857467759,419
resource_stress,229,1.00,0.0600000000,12,noise_1,noise,1,-0.0852657033,0.0852657033,419
resource_stress,229,0.75,0.1700000000,1,strong_1,strong,1,0.4317120192,0.4317120192,419
resource_stress,229,0.75,0.1700000000,2,strong_3,strong,1,0.3984717856,0.3984717856,419
resource_stress,229,0.75,0.1700000000,3,strong_2,strong,1,-0.3926331270,0.3926331270,419
resource_stress,229,0.75,0.1700000000,4,medium_1,medium,1,0.2784548768,0.2784548768,419
resource_stress,229,0.75,0.1700000000,5,medium_4,medium,1,-0.2747544162,0.2747544162,419
resource_stress,229,0.75,0.1700000000,6,medium_2,medium,1,-0.2333787289,0.2333787289,419
resource_stress,229,0.75,0.1700000000,7,medium_3,medium,1,0.2239522387,0.2239522387,419
resource_stress,229,0.75,0.1700000000,8,weak_1,weak,2,0.1980491189,0.1980491189,418
resource_stress,229,0.75,0.1700000000,9,weak_2,weak,1,-0.1942173004,0.1942173004,419
resource_stress,229,0.50,0.2800000000,1,strong_1,strong,1,0.4317120192,0.4317120192,419
resource_stress,229,0.50,0.2800000000,2,strong_3,strong,1,0.3984717856,0.3984717856,419
resource_stress,229,0.50,0.2800000000,3,strong_2,strong,1,-0.3926331270,0.3926331270,419
resource_stress,229,0.25,0.3900000000,1,strong_1,strong,1,0.4317120192,0.4317120192,419
resource_stress,229,0.25,0.3900000000,2,strong_3,strong,1,0.3984717856,0.3984717856,419
resource_stress,229,0.25,0.3900000000,3,strong_2,strong,1,-0.3926331270,0.3926331270,419
resource_stress,233,1.00,0.0600000000,1,strong_1,strong,1,0.5160690499,0.5160690499,419
resource_stress,233,1.00,0.0600000000,2,strong_2,strong,1,-0.4478158235,0.4478158235,419
resource_stress,233,1.00,0.0600000000,3,strong_3,strong,1,0.3622652077,0.3622652077,419
resource_stress,233,1.00,0.0600000000,4,medium_2,medium,1,-0.2744849919,0.2744849919,419
resource_stress,233,1.00,0.0600000000,5,medium_1,medium,2,0.2424274249,0.2424274249,418
resource_stress,233,1.00,0.0600000000,6,weak_2,weak,1,-0.2128502325,0.2128502325,419
resource_stress,233,1.00,0.0600000000,7,medium_3,medium,1,0.2041738788,0.2041738788,419
resource_stress,233,1.00,0.0600000000,8,medium_4,medium,1,-0.1680347373,0.1680347373,419
resource_stress,233,1.00,0.0600000000,9,weak_1,weak,1,0.1298551144,0.1298551144,419
resource_stress,233,1.00,0.0600000000,10,noise_1,noise,2,0.1281913313,0.1281913313,418
resource_stress,233,1.00,0.0600000000,11,weak_4,weak,1,-0.0883843744,0.0883843744,419
resource_stress,233,1.00,0.0600000000,12,weak_3,weak,3,-0.0823940723,0.0823940723,417
resource_stress,233,1.00,0.0600000000,13,noise_4,noise,2,0.0743140838,0.0743140838,418
resource_stress,233,0.75,0.1700000000,1,strong_1,strong,1,0.5160690499,0.5160690499,419
resource_stress,233,0.75,0.1700000000,2,strong_2,strong,1,-0.4478158235,0.4478158235,419
resource_stress,233,0.75,0.1700000000,3,strong_3,strong,1,0.3622652077,0.3622652077,419
resource_stress,233,0.75,0.1700000000,4,medium_2,medium,1,-0.2744849919,0.2744849919,419
resource_stress,233,0.75,0.1700000000,5,medium_1,medium,2,0.2424274249,0.2424274249,418
resource_stress,233,0.75,0.1700000000,6,weak_2,weak,1,-0.2128502325,0.2128502325,419
resource_stress,233,0.75,0.1700000000,7,medium_3,medium,1,0.2041738788,0.2041738788,419
resource_stress,233,0.50,0.2800000000,1,strong_1,strong,1,0.5160690499,0.5160690499,419
resource_stress,233,0.50,0.2800000000,2,strong_2,strong,1,-0.4478158235,0.4478158235,419
resource_stress,233,0.50,0.2800000000,3,strong_3,strong,1,0.3622652077,0.3622652077,419
resource_stress,233,0.25,0.3900000000,1,strong_1,strong,1,0.5160690499,0.5160690499,419
resource_stress,233,0.25,0.3900000000,2,strong_2,strong,1,-0.4478158235,0.4478158235,419
resource_stress,233,0.00,0.5000000000,1,strong_1,strong,1,0.5160690499,0.5160690499,419
